,year,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other Current Assets,TOTAL,PPE Net,Investments And Advances,Other Non-Current Assets,TOTAL ASSETS,Short Term Debt,Accounts Payable And Accrued Liabilities,Other Current Liabilities,Long Term Debt,Deferred Revenues,Other Non-Current Liabilities,TOTAL LIABILITIES,"Shares Outstanding, K",Common Shares,Retained Earnings,Other Shareholders' Equity,TOTAL LIABILITIES AND EQUITY,Azione,Accrued Expenses,Intangibles,Income Taxes - Deferred,$0
2465,12-2014,"2,010,100","1,764,600","2,293,300",,"352,600","$7,740,200","1,247,200",,"443,900","$11,479,000",,"145,700",,"937,500","224,100","116,400","$3,738,800","609,617","6,100","7,301,600","-123,100","$11,479,000",CTSH,"1,522,300","3,367,300",N/A,
2466,09-2014,"2,617,619","2,000,860","2,147,131",,"234,942","$7,381,710","1,101,468",,"318,081","$9,227,043",,"130,040",,N/A,"169,385","85,828","$1,845,333","608,918","6,089","6,938,777","-123,658","$9,227,043",CTSH,"1,442,039","547,468","259,474",
2467,06-2014,"1,992,442","2,136,779","2,120,580",,"257,048","$6,990,829","1,086,116",,"289,995","$8,687,294",,"119,145",,,"179,660","108,941","$1,696,465","607,924","6,079","6,583,153","-111,460","$8,687,294",CTSH,"1,268,857","570,493","233,841",
2468,03-2014,"1,935,991","1,928,993","1,970,954",,"254,372","$6,622,957","1,090,885",,"327,757","$8,279,299",,"176,374",,,"166,504","133,201","$1,656,342","608,454","6,084","6,211,245","-167,285","$8,279,299",CTSH,"1,159,988","569,917","200,430",
2469,12-2013,"2,213,006","1,534,467","1,875,272",,"268,907","$6,135,791","1,081,164",,"330,162","$8,134,718",,"113,394",,,"182,893","203,249","$1,998,927","607,424","6,077","5,862,367","-276,259","$8,134,718",CTSH,"1,478,221","575,510","256,230",
2470,09-2013,"2,031,119","1,329,480","1,891,186",,"218,785","$5,648,276","1,011,803",,"330,041","$7,617,149",,"114,825",,,"141,937","352,041","$1,968,873","604,994","3,024","5,538,035","-375,089","$7,617,149",CTSH,"1,345,276","536,100","268,635",
2471,06-2013,"1,678,205","1,222,364","1,785,227",,"220,034","$5,323,748","1,017,705",,"326,016","$7,012,320",,"94,069",,,"134,192","316,727","$1,688,572","602,737","3,013","5,218,408","-324,602","$7,012,320",CTSH,"1,129,036","534,638","228,131",
2472,03-2013,"1,474,860","1,269,586","1,702,334",,"206,364","$5,215,934","1,008,198",,"334,614","$6,709,302",,"132,501",,,"138,204","252,684","$1,493,368","603,231","3,025","4,917,998","-208,431","$6,709,302",CTSH,"955,138","529,850","183,496",
2473,12-2012,"1,570,077","1,293,681","1,528,746",,"219,896","$4,854,383","971,486",,"339,131","$6,521,571",,"108,707",,,"149,696","287,081","$1,667,188","603,564","3,017","4,633,789","-239,683","$6,521,571",CTSH,"1,118,927","396,660","201,894",
2474,09-2012,"1,324,739","1,307,009","1,577,195",,"166,424","$4,572,370","878,561",,"297,961","$6,107,039",,"111,420",,,"116,427","254,488","$1,534,669","600,384","2,999","4,355,010","-190,043","$6,107,039",CTSH,"1,047,741","388,986","166,164",
2475,06-2012,"1,050,245","1,295,897","1,503,887",,"198,172","$4,092,333","837,683",,"288,443","$5,654,219",,"104,411",,,"106,625","407,718","$1,561,886","597,130","2,993","4,078,109","-396,741","$5,654,219",CTSH,"940,059","375,741","104,151",
